,Z,Theta,Hbonds,SBbonds,PiBonds,Total
0,-23.8,18,0.15555555555555556,0.0,0.0,0.15555555555555556
1,-23.8,54,0.08888888888888889,0.0,0.0,0.08888888888888889
2,-23.8,90,0.2222222222222222,0.0,0.0,0.2222222222222222
3,-23.8,126,0.022222222222222223,0.0,0.0,0.022222222222222223
4,-23.8,162,0.24444444444444444,0.06060606060606061,0.0,0.305050505050505
5,-23.8,198,0.044444444444444446,0.0,0.0,0.044444444444444446
6,-23.8,234,0.0,0.0,0.0,0.0
7,-23.8,270,0.0,0.0,0.0,0.0
8,-23.8,306,0.0,0.0,0.0,0.0
9,-23.8,342,0.0,0.0,0.0,0.0
10,-17.0,18,0.15555555555555556,0.0,0.0,0.15555555555555556
11,-17.0,54,0.06666666666666667,0.0,0.0,0.06666666666666667
12,-17.0,90,0.17777777777777778,0.0,0.0,0.17777777777777778
13,-17.0,126,0.022222222222222223,0.0,0.0,0.022222222222222223
14,-17.0,162,0.7111111111111111,0.0,0.0,0.7111111111111111
15,-17.0,198,1.0,1.0,0.0,2.0
16,-17.0,234,0.17777777777777778,0.0,0.0,0.17777777777777778
17,-17.0,270,0.1111111111111111,0.0,0.0,0.1111111111111111
18,-17.0,306,0.044444444444444446,0.0,0.5882352941176471,0.6326797385620915
19,-17.0,342,0.022222222222222223,0.0,0.3235294117647059,0.3457516339869281
20,-10.2,18,0.5777777777777777,0.0,0.0,0.5777777777777777
21,-10.2,54,0.17777777777777778,0.0,1.0,1.1777777777777778
22,-10.2,90,0.4444444444444444,0.0,0.0,0.4444444444444444
23,-10.2,126,0.2222222222222222,0.0,0.0,0.2222222222222222
24,-10.2,162,0.3111111111111111,0.0,0.0,0.3111111111111111
25,-10.2,198,0.15555555555555556,0.0,0.0,0.15555555555555556
26,-10.2,234,0.26666666666666666,0.0,0.0,0.26666666666666666
27,-10.2,270,0.1111111111111111,0.0,0.0,0.1111111111111111
28,-10.2,306,0.022222222222222223,0.0,0.20588235294117646,0.2281045751633987
29,-10.2,342,0.4444444444444444,0.0,0.29411764705882354,0.738562091503268
30,-3.4,18,0.06666666666666667,0.0,0.0,0.06666666666666667
31,-3.4,54,0.15555555555555556,0.0,0.029411764705882353,0.18496732026143792
32,-3.4,90,0.24444444444444444,0.0,0.0,0.24444444444444444
33,-3.4,126,0.022222222222222223,0.0,0.0,0.022222222222222223
34,-3.4,162,0.15555555555555556,0.0,0.5294117647058824,0.6849673202614379
35,-3.4,198,0.8222222222222222,0.7727272727272727,0.08823529411764706,1.6831847890671419
36,-3.4,234,0.9111111111111111,0.0,0.11764705882352941,1.0287581699346404
37,-3.4,270,0.08888888888888889,0.0,0.0,0.08888888888888889
38,-3.4,306,0.3333333333333333,0.0,0.0,0.3333333333333333
39,-3.4,342,0.13333333333333333,0.0,0.0,0.13333333333333333
40,3.4,18,0.06666666666666667,0.0,0.0,0.06666666666666667
41,3.4,54,0.4222222222222222,0.0,0.0,0.4222222222222222
42,3.4,90,0.0,0.0,0.0,0.0
43,3.4,126,0.0,0.0,0.0,0.0
44,3.4,162,0.0,0.0,0.0,0.0
45,3.4,198,0.4666666666666667,0.0,0.0,0.4666666666666667
46,3.4,234,0.044444444444444446,0.0,0.35294117647058826,0.3973856209150327
47,3.4,270,0.0,0.0,0.0,0.0
48,3.4,306,0.15555555555555556,0.0,0.0,0.15555555555555556
49,3.4,342,0.0,0.0,0.0,0.0
50,10.2,18,0.0,0.0,0.0,0.0
51,10.2,54,0.9777777777777777,0.0,0.0,0.9777777777777777
52,10.2,90,0.0,0.0,0.20588235294117646,0.20588235294117646
53,10.2,126,0.2,0.0,0.0,0.2
54,10.2,162,0.06666666666666667,0.0,0.0,0.06666666666666667
55,10.2,198,0.5111111111111111,0.0,0.0,0.5111111111111111
56,10.2,234,0.24444444444444444,0.0,0.0,0.24444444444444444
57,10.2,270,0.3333333333333333,0.0,0.0,0.3333333333333333
58,10.2,306,0.044444444444444446,0.0,0.38235294117647056,0.426797385620915
59,10.2,342,0.2,0.0,0.0,0.2
60,17.0,18,0.0,0.0,0.058823529411764705,0.058823529411764705
61,17.0,54,0.1111111111111111,0.0,0.0,0.1111111111111111
62,17.0,90,0.0,0.0,0.0,0.0
63,17.0,126,0.06666666666666667,0.0,0.0,0.06666666666666667
64,17.0,162,0.8444444444444444,0.0,0.0,0.8444444444444444
65,17.0,198,0.2222222222222222,0.0,0.0,0.2222222222222222
66,17.0,234,0.4666666666666667,0.0,0.0,0.4666666666666667
67,17.0,270,0.022222222222222223,0.0,0.38235294117647056,0.40457516339869276
68,17.0,306,0.044444444444444446,0.0,0.35294117647058826,0.3973856209150327
69,17.0,342,0.4444444444444444,0.0,0.0,0.4444444444444444
70,23.8,18,0.2,0.030303030303030304,0.0,0.23030303030303031
71,23.8,54,0.17777777777777778,0.09090909090909091,0.0,0.2686868686868687
72,23.8,90,0.022222222222222223,0.0,0.08823529411764706,0.11045751633986929
73,23.8,126,0.044444444444444446,0.0,0.0,0.044444444444444446
74,23.8,162,0.06666666666666667,0.0,0.0,0.06666666666666667
75,23.8,198,0.24444444444444444,0.0,0.0,0.24444444444444444
76,23.8,234,0.26666666666666666,0.0,0.0,0.26666666666666666
77,23.8,270,0.044444444444444446,0.0,0.0,0.044444444444444446
78,23.8,306,0.022222222222222223,0.0,0.0,0.022222222222222223
79,23.8,342,0.4,0.0,0.0,0.4
